epoch_s,gpu_soc_mw,cpu_cv_mw,sys_5v0_mw,total_mw,vddq_mw
1786587940.675058,5162.6,1984.8,4607.4,11754.7,500.8
1786587940.775267,5164.6,1984.8,4507.2,11656.6,500.8
1786587940.875190,5164.6,1587.8,4507.2,11259.7,400.6
1786587940.975047,5164.6,1587.8,4507.2,11259.7,400.0
1786587941.075058,5164.6,1587.8,4507.2,11259.7,400.6
1786587941.175046,5162.6,1587.8,4407.0,11157.4,400.0
1786587941.275247,5162.6,1587.8,4507.2,11257.6,500.8
1786587941.375355,5162.6,1984.8,4607.4,11754.7,500.8
1786587941.475372,5162.6,2381.8,4607.4,12151.7,601.0
1786587941.575283,5162.6,1984.8,4607.4,11754.7,600.0
1786587941.675006,5164.6,1984.8,4607.4,11756.8,500.8
1786587941.775150,5164.6,1984.8,4507.2,11656.6,500.8
1786587941.875058,5164.6,1587.8,4507.2,11259.7,500.0
1786587941.975037,5164.6,1587.8,4507.2,11259.7,400.0
1786587942.075046,5162.6,1587.8,4507.2,11257.6,400.6
1786587942.175199,5162.6,1587.8,4507.2,11257.6,400.0
1786587942.275032,5164.6,1587.8,4407.0,11159.5,400.0
1786587942.375074,5164.6,1587.8,4407.0,11159.5,400.0
1786587942.475286,5164.6,1587.8,4407.0,11159.5,400.6
1786587942.575067,5164.6,1587.8,4407.0,11159.5,400.0
1786587942.675135,5164.6,1587.8,4407.0,11159.5,400.0
1786587942.775194,5164.6,1587.8,4407.0,11159.5,400.6
1786587942.875161,5164.6,1587.8,4407.0,11159.5,400.6
1786587942.975053,5164.6,1587.8,4407.0,11159.5,400.6
1786587943.075076,5164.6,1587.8,4407.0,11159.5,400.0
1786587943.175061,5164.6,1587.8,4407.0,11159.5,400.6
1786587943.275047,5164.6,1587.8,4407.0,11159.5,400.0
1786587943.375082,5162.6,1190.9,4407.0,10760.5,400.0
1786587943.475021,5164.6,1190.9,4407.0,10762.6,400.0
1786587943.575043,5162.6,1190.9,4407.0,10760.5,400.0
1786587943.675008,5162.6,1190.9,4407.0,10760.5,400.0
1786587943.775064,5164.6,1190.9,4407.0,10762.6,400.0
1786587943.875118,5164.6,1190.9,4407.0,10762.6,400.0
1786587943.975053,5164.6,1190.9,4407.0,10762.6,400.0
1786587944.075058,5164.6,1190.9,4407.0,10762.6,400.0
1786587944.175058,5162.6,1190.9,4407.0,10760.5,400.0
1786587944.275017,5162.6,1190.9,4407.0,10760.5,400.0
1786587944.375087,5162.6,1190.9,4407.0,10760.5,400.0
1786587944.475031,5162.6,1190.9,4407.0,10760.5,400.6
1786587944.575039,5162.6,1190.9,4407.0,10760.5,400.0
