epoch_s,gpu_soc_mw,cpu_cv_mw,sys_5v0_mw,total_mw,vddq_mw
1786590716.118679,3972.8,794.2,4407.0,9174.1,400.6
1786590716.218703,3575.5,397.1,4407.0,8379.7,400.0
1786590716.319009,3972.8,794.2,4407.0,9174.1,400.6
1786590716.418963,3575.5,794.2,4407.0,8776.8,400.6
1786590716.518674,3972.8,794.2,4407.0,9174.1,400.6
1786590716.618839,3575.5,794.2,4407.0,8776.8,400.6
1786590716.719007,3972.8,794.2,4407.0,9174.1,400.6
1786590716.818708,3575.5,794.2,4407.0,8776.8,400.6
1786590716.918671,3575.5,397.1,4407.0,8379.7,400.6
1786590717.018653,3575.5,397.1,4407.0,8379.7,400.0
1786590717.118829,3575.5,397.1,4407.0,8379.7,400.0
1786590717.218688,3575.5,397.1,4407.0,8379.7,400.0
1786590717.318860,3972.8,397.1,4407.0,8777.0,400.6
1786590717.418689,3972.8,397.1,4407.0,8777.0,400.6
1786590717.518881,3575.5,397.1,4407.0,8379.7,400.6
1786590717.618683,3575.5,397.1,4407.0,8379.7,400.6
1786590717.718682,3575.5,397.1,4407.0,8379.7,400.0
1786590717.818677,3575.5,397.1,4407.0,8379.7,400.6
1786590717.918666,3575.5,397.1,4407.0,8379.7,400.6
1786590718.018667,3972.8,397.1,4407.0,8777.0,400.0
1786590718.118756,3972.8,397.1,4407.0,8777.0,400.6
1786590718.218693,3575.5,397.1,4407.0,8379.7,400.6
1786590718.318815,3575.5,397.1,4407.0,8379.7,400.6
1786590718.418688,3575.5,397.1,4407.0,8379.7,400.6
1786590718.519011,3972.8,793.9,4407.0,9173.8,500.8
1786590718.618963,3972.8,793.9,4507.2,9273.9,500.8
1786590718.719038,3972.8,1191.4,4607.4,9771.5,601.0
1786590718.818933,3972.8,1191.4,4607.4,9771.5,601.0
1786590718.918641,3972.8,1191.4,4607.4,9771.5,601.0
1786590719.018636,3972.8,794.2,4507.2,9274.2,500.8
1786590719.118682,3972.8,794.2,4507.2,9274.2,500.8
1786590719.218652,3972.8,794.2,4507.2,9274.2,500.8
1786590719.318707,3575.5,794.2,4507.2,8877.0,400.0
1786590719.418751,3972.8,794.2,4407.0,9174.1,400.0
1786590719.518803,3972.8,794.2,4407.0,9174.1,400.6
1786590719.618686,3575.5,794.2,4407.0,8776.8,400.0
1786590719.718683,3575.5,397.1,4407.0,8379.7,400.6
1786590719.818690,3575.5,397.1,4407.0,8379.7,400.6
1786590719.918679,3575.5,397.1,4407.0,8379.7,400.6
1786590720.018712,3972.8,397.1,4407.0,8777.0,400.6
1786590720.118706,3972.8,397.1,4407.0,8777.0,400.6
1786590720.218730,3575.5,397.1,4407.0,8379.7,400.6
1786590720.318675,3575.5,397.1,4407.0,8379.7,400.6
1786590720.418829,3972.8,397.1,4407.0,8777.0,400.6
1786590720.518671,3575.5,397.1,4407.0,8379.7,400.6
1786590720.618794,3575.5,397.1,4407.0,8379.7,400.0
1786590720.718749,3575.5,397.0,4407.0,8379.5,400.6
1786590720.818710,3575.5,397.0,4407.0,8379.5,400.6
1786590720.918653,3972.8,397.0,4407.0,8776.8,400.0
1786590721.018931,3575.5,397.0,4407.0,8379.5,400.6
1786590721.118702,3575.5,397.0,4407.0,8379.5,400.6
1786590721.218633,3575.5,397.0,4407.0,8379.5,400.6
1786590721.318633,3972.8,397.0,4407.0,8776.8,400.6
1786590721.418719,3575.5,397.0,4407.0,8379.5,400.6
1786590721.518803,3575.5,397.0,4407.0,8379.5,400.6
1786590721.618656,3575.5,397.0,4407.0,8379.5,400.6
1786590721.718704,3575.5,397.0,4407.0,8379.5,400.6
1786590721.818679,3575.5,397.0,4407.0,8379.5,400.6
1786590721.918652,3575.5,397.0,4407.0,8379.5,400.6
1786590722.018715,3575.5,397.0,4407.0,8379.5,400.0
1786590722.118705,3575.5,397.0,4407.0,8379.5,400.0
1786590722.218673,3575.5,397.0,4407.0,8379.5,400.6
1786590722.318684,3972.8,397.0,4407.0,8776.8,400.0
1786590722.418694,3972.8,397.0,4407.0,8776.8,400.0
1786590722.518663,3575.5,397.0,4407.0,8379.5,400.6
1786590722.618826,3575.5,397.0,4407.0,8379.5,400.6
1786590722.718716,3575.5,397.0,4407.0,8379.5,400.6
1786590722.818680,3575.5,397.1,4407.0,8379.7,400.6
1786590722.918669,3575.5,397.1,4407.0,8379.7,400.6
1786590723.018697,3972.8,397.1,4407.0,8777.0,400.0
1786590723.118699,3575.5,397.1,4407.0,8379.7,400.6
1786590723.218841,3972.8,397.1,4407.0,8777.0,400.6
1786590723.318703,3972.8,397.1,4407.0,8777.0,400.0
1786590723.418684,3575.5,397.1,4407.0,8379.7,400.0
1786590723.518808,3972.8,397.1,4407.0,8777.0,400.6
1786590723.618685,3575.5,397.1,4407.0,8379.7,400.0
1786590723.718682,3575.5,397.1,4407.0,8379.7,400.6
1786590723.818677,3575.5,397.1,4407.0,8379.7,400.0
1786590723.918677,3575.5,397.1,4407.0,8379.7,400.6
1786590724.018992,3972.8,794.2,4407.0,9174.1,500.8
1786590724.118907,3972.8,794.2,4507.2,9274.2,500.8
1786590724.219328,3972.8,1191.4,4607.4,9771.5,601.0
1786590724.318991,3972.8,1191.4,4607.4,9771.5,601.0
1786590724.418679,3972.8,794.2,4607.4,9374.4,601.0
1786590724.518655,3972.8,794.2,4507.2,9274.2,500.8
